X - coordinate,Y - coordinate,Time
0,0,0
0.015159772,0.008747499,0.001
0.027670908,0.015955806,0.002
0.041032512,0.023645132,0.003
0.054144392,0.03118028,0.004
0.067336909,0.038751982,0.005
0.080509243,0.046302033,0.006
0.093692021,0.053848114,0.007
0.106875918,0.06138484,0.008
0.120063768,0.068913849,0.009
0.133254702,0.076434638,0.01
0.146448981,0.083947359,0.011
0.159646521,0.091451962,0.012
0.172847343,0.09894846,0.013
0.186051435,0.106436846,0.014
0.199258797,0.11391712,0.015
0.212469425,0.12138928,0.016
0.225683314,0.128853322,0.017
0.238900462,0.136309246,0.018
0.252120865,0.143757049,0.019
0.26534452,0.15119673,0.02
0.278571422,0.158628286,0.021
0.291801569,0.166051715,0.022
0.305034958,0.173467015,0.023
0.318271583,0.180874184,0.024
0.331511443,0.188273221,0.025
0.344754533,0.195664122,0.026
0.35800085,0.203046887,0.027
0.37125039,0.210421513,0.028
0.384503151,0.217787998,0.029
0.397759128,0.225146339,0.03
0.411018318,0.232496536,0.031
0.424280717,0.239838586,0.032
0.437546323,0.247172487,0.033
0.450815131,0.254498237,0.034
0.464087138,0.261815834,0.035
0.47736234,0.269125276,0.036
0.490640735,0.27642656,0.037
0.503922318,0.283719686,0.038
0.517207086,0.29100465,0.039
0.530495036,0.298281452,0.04
0.543786163,0.305550088,0.041
0.557080465,0.312810557,0.042
0.570377939,0.320062856,0.043
0.583678579,0.327306985,0.044
0.596982384,0.33454294,0.045
0.61028935,0.34177072,0.046
0.623599472,0.348990323,0.047
0.636912749,0.356201747,0.048
0.650229175,0.363404989,0.049
0.663548748,0.370600048,0.05
0.676871464,0.377786922,0.051
0.69019732,0.384965608,0.052
0.703526311,0.392136105,0.053
0.716858436,0.399298411,0.054
0.73019369,0.406452523,0.055
0.743532069,0.41359844,0.056
0.756873571,0.42073616,0.057
0.770218191,0.42786568,0.058
0.783565927,0.434986999,0.059
0.796916775,0.442100114,0.06
0.810270731,0.449205024,0.061
0.823627791,0.456301727,0.062
0.836987953,0.46339022,0.063
0.850351213,0.470470502,0.064
0.863717567,0.47754257,0.065
0.877087012,0.484606423,0.066
0.890459545,0.491662058,0.067
0.903835162,0.498709474,0.068
0.917213859,0.505748668,0.069
0.930595633,0.512779639,0.07
0.94398048,0.519802384,0.071
0.957368398,0.526816902,0.072
0.970759382,0.53382319,0.073
0.984153429,0.540821247,0.074
0.997550536,0.547811071,0.075
1.010950699,0.554792658,0.076
1.024353915,0.561766009,0.077
1.03776018,0.568731119,0.078
1.051169491,0.575687988,0.079
1.064581843,0.582636614,0.08
1.077997235,0.589576994,0.081
1.091415662,0.596509126,0.082
1.104837121,0.603433009,0.083
1.118261609,0.610348641,0.084
1.131689121,0.617256019,0.085
1.145119655,0.624155141,0.086
1.158553206,0.631046006,0.087
1.171989773,0.637928611,0.088
1.18542935,0.644802954,0.089
1.198871935,0.651669034,0.09
1.212317524,0.658526849,0.091
1.225766114,0.665376396,0.092
1.2392177,0.672217673,0.093
1.252672281,0.679050679,0.094
1.266129852,0.685875411,0.095
1.27959041,0.692691868,0.096
1.293053951,0.699500047,0.097
1.306520472,0.706299946,0.098
1.319989969,0.713091564,0.099
1.33346244,0.719874899,0.1
1.34693788,0.726649947,0.101
1.360416286,0.733416709,0.102
1.373897654,0.740175181,0.103
1.387381982,0.746925361,0.104
1.400869265,0.753667248,0.105
1.414359501,0.760400839,0.106
1.427852686,0.767126132,0.107
1.441348815,0.773843127,0.108
1.454847887,0.780551819,0.109
1.468349897,0.787252208,0.11
1.481854842,0.793944292,0.111
1.495362719,0.800628068,0.112
1.508873523,0.807303535,0.113
1.522387252,0.81397069,0.114
1.535903903,0.820629532,0.115
1.549423471,0.827280058,0.116
1.562945953,0.833922267,0.117
1.576471346,0.840556156,0.118
1.589999647,0.847181724,0.119
1.603530851,0.853798968,0.12
1.617064956,0.860407887,0.121
1.630601958,0.867008479,0.122
1.644141853,0.873600741,0.123
1.657684638,0.880184672,0.124
1.671230311,0.88676027,0.125
1.684778866,0.893327532,0.126
1.698330301,0.899886456,0.127
1.711884613,0.906437042,0.128
1.725441797,0.912979286,0.129
1.739001851,0.919513187,0.13
1.752564771,0.926038742,0.131
1.766130553,0.93255595,0.132
1.779699194,0.939064809,0.133
1.793270692,0.945565317,0.134
1.806845041,0.952057471,0.135
1.820422239,0.95854127,0.136
1.834002283,0.965016712,0.137
1.847585168,0.971483794,0.138
1.861170892,0.977942516,0.139
1.874759451,0.984392874,0.14
1.888350842,0.990834867,0.141
1.901945061,0.997268493,0.142
1.915542104,1.003693749,0.143
1.929141969,1.010110635,0.144
1.942744652,1.016519148,0.145
1.956350149,1.022919285,0.146
1.969958457,1.029311045,0.147
1.983569572,1.035694427,0.148
1.997183492,1.042069427,0.149
2.010800213,1.048436044,0.15
2.02441973,1.054794276,0.151
2.038042042,1.061144121,0.152
2.051667144,1.067485578,0.153
2.065295032,1.073818643,0.154
2.078925705,1.080143315,0.155
2.092559157,1.086459593,0.156
2.106195387,1.092767473,0.157
2.119834389,1.099066955,0.158
2.133476161,1.105358036,0.159
2.1471207,1.111640714,0.16
2.160768001,1.117914987,0.161
2.174418062,1.124180854,0.162
2.18807088,1.130438311,0.163
2.201726449,1.136687358,0.164
2.215384769,1.142927992,0.165
2.229045833,1.149160212,0.166
2.242709641,1.155384015,0.167
2.256376187,1.161599399,0.168
2.270045469,1.167806363,0.169
2.283717483,1.174004904,0.17
2.297392226,1.18019502,0.171
2.311069694,1.18637671,0.172
2.324749884,1.192549971,0.173
2.338432792,1.198714802,0.174
2.352118415,1.2048712,0.175
2.36580675,1.211019164,0.176
2.379497793,1.217158692,0.177
2.393191541,1.223289781,0.178
2.40688799,1.229412429,0.179
2.420587138,1.235526635,0.18
2.434288979,1.241632397,0.181
2.447993512,1.247729713,0.182
2.461700732,1.253818581,0.183
2.475410637,1.259898998,0.184
2.489123223,1.265970963,0.185
2.502838486,1.272034473,0.186
2.516556423,1.278089528,0.187
2.53027703,1.284136125,0.188
2.544000305,1.290174261,0.189
2.557726244,1.296203935,0.19
2.571454843,1.302225146,0.191
2.585186098,1.30823789,0.192
2.598920008,1.314242166,0.193
2.612656567,1.320237972,0.194
2.626395774,1.326225307,0.195
2.640137623,1.332204167,0.196
2.653882112,1.338174552,0.197
2.667629238,1.344136459,0.198
2.681378997,1.350089886,0.199
2.695131386,1.356034831,0.2
2.708886401,1.361971293,0.201
2.722644039,1.367899269,0.202
2.736404296,1.373818757,0.203
2.750167169,1.379729755,0.204
2.763932655,1.385632262,0.205
2.77770075,1.391526276,0.206
2.791471451,1.397411794,0.207
2.805244754,1.403288814,0.208
2.819020657,1.409157335,0.209
2.832799155,1.415017354,0.21
2.846580245,1.420868871,0.211
2.860363924,1.426711881,0.212
2.874150188,1.432546385,0.213
2.887939034,1.438372379,0.214
2.901730459,1.444189862,0.215
2.915524459,1.449998832,0.216
2.929321031,1.455799286,0.217
2.943120172,1.461591223,0.218
2.956921877,1.467374642,0.219
2.970726144,1.473149539,0.22
2.984532969,1.478915913,0.221
2.998342349,1.484673762,0.222
3.01215428,1.490423085,0.223
3.025968759,1.496163878,0.224
3.039785783,1.50189614,0.225
3.053605348,1.50761987,0.226
3.067427451,1.513335065,0.227
3.081252089,1.519041723,0.228
3.095079257,1.524739842,0.229
3.108908953,1.530429421,0.23
3.122741173,1.536110457,0.231
3.136575914,1.541782948,0.232
3.150413173,1.547446893,0.233
3.164252945,1.55310229,0.234
3.178095228,1.558749136,0.235
3.191940019,1.564387429,0.236
3.205787313,1.570017168,0.237
3.219637108,1.575638351,0.238
3.2334894,1.581250976,0.239
3.247344186,1.58685504,0.24
3.261201462,1.592450542,0.241
3.275061224,1.59803748,0.242
3.288923471,1.603615851,0.243
3.302788197,1.609185655,0.244
3.316655401,1.614746888,0.245
3.330525077,1.62029955,0.246
3.344397224,1.625843638,0.247
3.358271837,1.631379149,0.248
3.372148914,1.636906083,0.249
3.38602845,1.642424437,0.25
3.399910443,1.647934209,0.251
3.413794889,1.653435398,0.252
3.427681784,1.658928001,0.253
3.441571126,1.664412016,0.254
3.45546291,1.669887441,0.255
3.469357135,1.675354276,0.256
3.483253795,1.680812516,0.257
3.497152888,1.686262161,0.258
3.51105441,1.691703209,0.259
3.524958359,1.697135657,0.26
3.53886473,1.702559504,0.261
3.55277352,1.707974748,0.262
3.566684726,1.713381387,0.263
3.580598345,1.718779418,0.264
3.594514372,1.724168841,0.265
3.608432806,1.729549652,0.266
3.622353642,1.73492185,0.267
3.636276876,1.740285433,0.268
3.650202507,1.7456404,0.269
3.664130529,1.750986747,0.27
3.67806094,1.756324474,0.271
3.691993737,1.761653578,0.272
3.705928916,1.766974057,0.273
3.719866473,1.77228591,0.274
3.733806406,1.777589134,0.275
3.747748711,1.782883727,0.276
3.761693384,1.788169688,0.277
3.775640423,1.793447014,0.278
3.789589823,1.798715704,0.279
3.803541582,1.803975756,0.28
3.817495696,1.809227168,0.281
3.831452161,1.814469937,0.282
3.845410975,1.819704062,0.283
3.859372134,1.824929541,0.284
3.873335635,1.830146371,0.285
3.887301474,1.835354552,0.286
3.901269647,1.840554081,0.287
3.915240152,1.845744956,0.288
3.929212985,1.850927175,0.289
3.943188143,1.856100736,0.29
3.957165623,1.861265637,0.291
3.97114542,1.866421877,0.292
3.985127532,1.871569453,0.293
3.999111955,1.876708364,0.294
4.013098686,1.881838607,0.295
4.027087722,1.88696018,0.296
4.041079059,1.892073082,0.297
4.055072693,1.897177311,0.298
4.069068622,1.902272865,0.299
4.083066843,1.907359741,0.3
4.09706735,1.912437938,0.301
4.111070143,1.917507454,0.302
4.125075216,1.922568286,0.303
4.139082567,1.927620434,0.304
4.153092192,1.932663895,0.305
4.167104088,1.937698667,0.306
4.181118252,1.942724748,0.307
4.195134679,1.947742136,0.308
4.209153368,1.95275083,0.309
4.223174314,1.957750827,0.31
4.237197514,1.962742125,0.311
4.251222965,1.967724723,0.312
4.265250663,1.972698618,0.313
4.279280605,1.977663809,0.314
4.293312788,1.982620294,0.315
4.307347208,1.98756807,0.316
4.321383863,1.992507136,0.317
4.335422747,1.99743749,0.318
4.349463859,2.00235913,0.319
4.363507195,2.007272054,0.32
4.377552751,2.012176259,0.321
4.391600525,2.017071745,0.322
4.405650512,2.021958509,0.323
4.41970271,2.026836549,0.324
4.433757115,2.031705864,0.325
4.447813723,2.03656645,0.326
4.461872532,2.041418308,0.327
4.475933538,2.046261433,0.328
4.489996738,2.051095825,0.329
4.504062128,2.055921482,0.33
4.518129705,2.060738401,0.331
4.532199465,2.065546581,0.332
4.546271406,2.07034602,0.333
4.560345524,2.075136716,0.334
4.574421815,2.079918666,0.335
4.588500277,2.08469187,0.336
4.602580905,2.089456325,0.337
4.616663697,2.094212028,0.338
4.630748649,2.098958979,0.339
4.644835758,2.103697175,0.34
4.65892502,2.108426615,0.341
4.673016433,2.113147295,0.342
4.687109992,2.117859216,0.343
4.701205695,2.122562373,0.344
4.715303537,2.127256767,0.345
4.729403517,2.131942394,0.346
4.74350563,2.136619252,0.347
4.757609873,2.141287341,0.348
4.771716242,2.145946657,0.349
4.785824735,2.150597199,0.35
4.799935348,2.155238965,0.351
4.814048078,2.159871954,0.352
4.828162921,2.164496162,0.353
4.842279873,2.169111588,0.354
4.856398933,2.173718231,0.355
4.870520096,2.178316088,0.356
4.884643358,2.182905158,0.357
4.898768718,2.187485438,0.358
4.91289617,2.192056926,0.359
4.927025713,2.196619622,0.36
4.941157342,2.201173521,0.361
4.955291054,2.205718624,0.362
4.969426846,2.210254927,0.363
4.983564715,2.21478243,0.364
4.997704657,2.219301129,0.365
5.011846669,2.223811023,0.366
5.025990747,2.228312111,0.367
5.040136889,2.232804389,0.368
5.05428509,2.237287857,0.369
5.068435348,2.241762513,0.37
5.082587659,2.246228353,0.371
5.09674202,2.250685377,0.372
5.110898427,2.255133583,0.373
5.125056878,2.259572968,0.374
5.139217368,2.264003531,0.375
5.153379895,2.26842527,0.376
5.167544455,2.272838182,0.377
5.181711045,2.277242267,0.378
5.195879662,2.281637521,0.379
5.210050301,2.286023944,0.38
5.224222961,2.290401533,0.381
5.238397637,2.294770286,0.382
5.252574326,2.299130201,0.383
5.266753025,2.303481276,0.384
5.28093373,2.307823511,0.385
5.295116438,2.312156901,0.386
