X - coordinate,Y - coordinate,Time,,,
0.012377902,0.012372902,0,,,
0.024542721,0.024522721,0.001,,,
0.036718462,0.036673462,0.002,,,
0.048897349,0.048817349,0.003,,,
0.061079648,0.060954648,0.004,,32.78819425,9.02216414
0.073265346,0.073085346,0.005,,,
0.085454438,0.085209438,0.006,,,
0.097646923,0.097326923,0.007,,,
0.109842796,0.109437796,0.008,,,
0.122042054,0.121542054,0.009,,,
0.134244694,0.133639694,0.01,,,
0.146450712,0.145730712,0.011,,,
0.158660105,0.157815105,0.012,,,
0.170872869,0.169892869,0.013,,,
0.183089,0.181964,0.014,,,
0.195308496,0.194028496,0.015,,,
0.207531353,0.206086353,0.016,,,
0.219757567,0.218137567,0.017,,,
0.231987136,0.230182136,0.018,,,
0.244220055,0.242220055,0.019,,,
0.25645632,0.25425132,0.02,,,
0.26869593,0.26627593,0.021,,,
0.28093888,0.27829388,0.022,,,
0.293185166,0.290305166,0.023,,,
0.305434786,0.302309786,0.024,,,
0.317687736,0.314307736,0.025,,,
0.329944012,0.326299012,0.026,,,
0.342203611,0.338283611,0.027,,,
0.35446653,0.35026153,0.028,,,
0.366732764,0.362232764,0.029,,,
0.379002312,0.374197312,0.03,,,
0.391275168,0.386155168,0.031,,,
0.40355133,0.39810633,0.032,,,
0.415830795,0.410050795,0.033,,,
0.428113558,0.421988558,0.034,,,
0.440399617,0.433919617,0.035,,,
0.452688968,0.445843968,0.036,,,
0.464981607,0.457761607,0.037,,,
0.477277531,0.469672531,0.038,,,
0.489576737,0.481576737,0.039,,,
0.501879221,0.493474221,0.04,,,
0.514184979,0.505364979,0.041,,,
0.526494009,0.517249009,0.042,,,
0.538806307,0.529126307,0.043,,,
0.551121869,0.540996869,0.044,,,
0.563440692,0.552860692,0.045,,,
0.575762773,0.564717773,0.046,,,
0.588088107,0.576568107,0.047,,,
0.600416692,0.588411692,0.048,,,
0.612748525,0.600248525,0.049,,,
0.625083601,0.612078601,0.05,,,
0.637421917,0.623901917,0.051,,,
0.64976347,0.63571847,0.052,,,
0.662108256,0.647528256,0.053,,,
0.674456273,0.659331273,0.054,,,
0.686807516,0.671127516,0.055,,,
0.699161981,0.682916981,0.056,,,
0.711519667,0.694699667,0.057,,,
0.723880568,0.706475568,0.058,,,
0.736244683,0.718244683,0.059,,,
0.748612006,0.730007006,0.06,,,
0.760982535,0.741762535,0.061,,,
0.773356267,0.753511267,0.062,,,
0.785733198,0.765253198,0.063,,,
0.798113324,0.776988324,0.064,,,
0.810496642,0.788716642,0.065,,,
0.822883149,0.800438149,0.066,,,
0.83527284,0.81215284,0.067,,,
0.847665714,0.823860714,0.068,,,
0.860061766,0.835561766,0.069,,,
0.872460992,0.847255992,0.07,,,
0.88486339,0.85894339,0.071,,,
0.897268956,0.870623956,0.072,,,
0.909677687,0.882297687,0.073,,,
0.922089578,0.893964578,0.074,,,
0.934504627,0.905624627,0.075,,,
0.94692283,0.91727783,0.076,,,
0.959344184,0.928924184,0.077,,,
0.971768685,0.940563685,0.078,,,
0.98419633,0.95219633,0.079,,,
0.996627115,0.963822115,0.08,,,
1.009061038,0.975441038,0.081,,,
1.021498093,0.987053093,0.082,,,
1.033938279,0.998658279,0.083,,,
1.046381592,1.010256592,0.084,,,
1.058828027,1.021848027,0.085,,,
1.071277583,1.033432583,0.086,,,
1.083730254,1.045010254,0.087,,,
1.096186039,1.056581039,0.088,,,
1.108644933,1.068144933,0.089,,,
1.121106933,1.079701933,0.09,,,
1.133572035,1.091252035,0.091,,,
1.146040236,1.102795236,0.092,,,
1.158511533,1.114331533,0.093,,,
1.170985923,1.125860923,0.094,,,
1.183463401,1.137383401,0.095,,,
1.195943964,1.148898964,0.096,,,
1.208427609,1.160407609,0.097,,,
1.220914333,1.171909333,0.098,,,
1.233404131,1.183404131,0.099,,,
1.245897002,1.194892002,0.1,,,
1.25839294,1.20637294,0.101,,,
1.270891943,1.217846943,0.102,,,
1.283394007,1.229314007,0.103,,,
1.295899129,1.240774129,0.104,,,
1.308407305,1.252227305,0.105,,,
1.320918533,1.263673533,0.106,,,
1.333432807,1.275112807,0.107,,,
1.345950126,1.286545126,0.108,,,
1.358470485,1.297970485,0.109,,,
1.370993882,1.309388882,0.11,,,
1.383520312,1.320800312,0.111,,,
1.396049772,1.332204772,0.112,,,
1.40858226,1.34360226,0.113,,,
1.42111777,1.35499277,0.114,,,
1.433656301,1.366376301,0.115,,,
1.446197848,1.377752848,0.116,,,
1.458742408,1.389122408,0.117,,,
1.471289978,1.400484978,0.118,,,
1.483840554,1.411840554,0.119,,,
1.496394132,1.423189132,0.12,,,
1.50895071,1.43453071,0.121,,,
1.521510284,1.445865284,0.122,,,
1.534072851,1.457192851,0.123,,,
1.546638406,1.468513406,0.124,,,
1.559206947,1.479826947,0.125,,,
1.57177847,1.49113347,0.126,,,
1.584352972,1.502432972,0.127,,,
1.596930448,1.513725448,0.128,,,
1.609510897,1.525010897,0.129,,,
1.622094314,1.536289314,0.13,,,
1.634680696,1.547560696,0.131,,,
1.64727004,1.55882504,0.132,,,
1.659862341,1.570082341,0.133,,,
1.672457598,1.581332598,0.134,,,
1.685055805,1.592575805,0.135,,,
1.69765696,1.60381196,0.136,,,
1.710261059,1.615041059,0.137,,,
1.7228681,1.6262631,0.138,,,
1.735478077,1.637478077,0.139,,,
1.748090989,1.648685989,0.14,,,
1.760706831,1.659886831,0.141,,,
1.7733256,1.6710806,0.142,,,
1.785947293,1.682267293,0.143,,,
1.798571906,1.693446906,0.144,,,
